obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"350.11075"	"350.11076+"	"860"	"3.5e+07"	B	"0.000"	"28554.221"	"6s2"	"1S"	"0"	"5d.6p"	"1P*"	"1"		"T5037"	"L9224"	
"352.49732"	"352.49732+"	"47"	""		"9033.966"	"37394.868"	"6s.5d"	"3D"	"1"	"6s.5f"	"3F*"	"2"		""	"L9224"	
"352.94810"	"352.94807+"	"6"	""		"9215.501"	"37540.184"	"6s.5d"	"3D"	"2"	"5d.7p"	"3D*"	"3"		""	"L9224"	
"353.13418"	"353.13418+"	"5"	""		"11395.350"	"39705.106"	"6s.5d"	"1D"	"2"	"6s.7f"	"1F*"	"3"		""	"L9224"	
"354.46566"	"354.46566+"	"74"	""		"9215.501"	"37418.920"	"6s.5d"	"3D"	"2"	"6s.5f"	"3F*"	"3"		""	"L9224"	
"354.76822"	"354.76821+"	"9"	""		"9215.501"	"37394.868"	"6s.5d"	"3D"	"2"	"6s.5f"	"3F*"	"2"		""	"L9224"	
"356.19336"	"356.19336+"	"6"	""		"9215.501"	"37282.124"	"6s.5d"	"3D"	"2"	"5d.7p"	"1F*"	"3"		""	"L9224"	
"356.66533"	"356.66531+"	"6"	""		"9033.966"	"37063.452"	"6s.5d"	"3D"	"1"	"5d.7p"	"3D*"	"2"		""	"L9224"	
"357.60270"	"357.60268+"	"6"	""		"9033.966"	"36989.981"	"6s.5d"	"3D"	"1"	"5d.7p"	"3P*"	"1"		""	"L9224"	
"357.76089"	"357.76091+"	"18"	""		"9596.533"	"37540.184"	"6s.5d"	"3D"	"3"	"5d.7p"	"3D*"	"3"		""	"L9224"	
"357.96635"	"357.96634+"	"87"	""		"9596.533"	"37524.148"	"6s.5d"	"3D"	"3"	"6s.5f"	"3F*"	"4"		""	"L9224"	
"358.65087"	"358.65086+"	"10"	""		"9033.966"	"36908.280"	"6s.5d"	"3D"	"1"	"5d.7p"	"3P*"	"0"		""	"L9224"	
"358.80969"	"358.80969+"	"11"	""		"9215.501"	"37077.477"	"6s.5d"	"3D"	"2"	"5d.7p"	"3P*"	"2"		""	"L9224"	
"358.99041"	"358.99040+"	"2"	""		"9215.501"	"37063.452"	"6s.5d"	"3D"	"2"	"5d.7p"	"3D*"	"2"		""	"L9224"	
"359.32024"	"359.32026+"	"12"	""		"9596.533"	"37418.920"	"6s.5d"	"3D"	"3"	"6s.5f"	"3F*"	"3"		""	"L9224"	
"359.94005"	"359.94005+"	"16"	""		"9215.501"	"36989.981"	"6s.5d"	"3D"	"2"	"5d.7p"	"3P*"	"1"		""	"L9224"	
"361.09572"	"361.09573+"	"11"	""		"9596.533"	"37282.124"	"6s.5d"	"3D"	"3"	"5d.7p"	"1F*"	"3"		""	"L9224"	
"363.06401"	"363.06401+"	"57"	""		"9596.533"	"37132.036"	"6s.5d"	"3D"	"3"	"5d.7p"	"3F*"	"4"		""	"L9224"	
"363.68413"	"363.68413+"	"19"	""		"11395.350"	"38883.903"	"6s.5d"	"1D"	"2"	"6s.6f"	"1F*"	"3"		""	"L9224"	
"363.97064"	"363.97059+"	"1"	""		"9596.533"	"37063.452"	"6s.5d"	"3D"	"3"	"5d.7p"	"3D*"	"2"		""	"L9224"	
"364.03888"	"364.03889+"	"114"	""		"9033.966"	"36495.732"	"6s.5d"	"3D"	"1"	"5d.7p"	"3D*"	"1"		""	"L9224"	
"366.25367"	"366.25367+"	"13"	""		"9215.501"	"36511.207"	"6s.5d"	"3D"	"2"	"5d.7p"	"3F*"	"3"		""	"L9224"	
"368.83730"	"368.83730+"	"13"	""		"11395.350"	"38499.860"	"6s.5d"	"1D"	"2"	"5d.7p"	"1P*"	"1"		""	"L9224"	
"379.47979"	"379.47979+"	"33"	""		"11395.350"	"37739.734"	"6s.5d"	"1D"	"2"	"6s.5f"	"1F*"	"3"		""	"L9224"	
"386.18816"	"386.18816+"	"53"	""		"11395.350"	"37282.124"	"6s.5d"	"1D"	"2"	"5d.7p"	"1F*"	"3"		""	"L9224"	
"388.13342"	"388.13344+"	"3"	""		"12266.024"	"38023.059"	"6s.6p"	"3P*"	"0"	"5d.6d"	"3P"	"1"		""	"L9224"	
"388.93263"	"388.93263+"	"165"	"1.10e+06"	C+	"0.000"	"25704.110"	"6s2"	"1S"	"0"	"5d.6p"	"3P*"	"1"		"T5495"	"L9224"	
"389.05714"	"389.05714+"	"9"	""		"12266.024"	"37961.908"	"6s.6p"	"3P*"	"0"	"6s.8d"	"3D"	"1"		""	"L9224"	
"389.26555"	"389.26555+"	"82"	""		"11395.350"	"37077.477"	"6s.5d"	"1D"	"2"	"5d.7p"	"3P*"	"2"		""	"L9224"	
"389.43494"	"389.43496+"	"4"	""		"13514.745"	"39185.700"	"6s.6p"	"3P*"	"2"	"6s.9d"	"3D"	"3"		""	"L9224"	
"389.47817"	"389.47825+"	"1"	""		"11395.350"	"37063.452"	"6s.5d"	"1D"	"2"	"5d.7p"	"3D*"	"2"		""	"L9224"	
