obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"350.05645"	"0.00010"	"350.05647"	"0.00003"	"3800"	"5.28e+06"	C+	"20874.482"	"49433.131"	"3d6.4s2"	"b 3F2"	"3"	"3d7.(2G).4p"	"w 3F*"	"2"		"T5720"	"L11631"	
"350.15673"	"0.00025"	"350.15678"	"0.00004"	"380"	""		"29732.736"	"58283.204"	"3d6.(5D).4s.4p.(3P*)"	"z 5P*"	"1"	"3d6.(5D).4s (4D).4d"	"i 5D"	"1"		""	"L11631"	
"350.48610"	"0.00010"	"350.486058"	"0.000017"	"1910"	"2.94e+06"	C+	"18378.186"	"46901.832"	"3d6.4s2"	"a 3P2"	"2"	"3d6.(3P2).4s.4p.(3P*)"	"y 3P*"	"1"		"T5720"	"L11631"	
"350.50583"	"0.00010"	"350.50582"	"0.00003"	"2290"	"1.77e+07"	B	"24335.766"	"52857.804"	"3d7.(2P).4s"	"c 3P"	"2"	"3d7.(2D2).4p"	"t 3D*"	"1"		"T5720"	"L11631"	
"350.64975"	"0.00004"	"350.649748"	"0.000017"	"10500"	"7.35e+06"	B	"18378.186"	"46888.517"	"3d6.4s2"	"a 3P2"	"2"	"3d7.(4P).4p"	"u 5D*"	"2"		"T5720"	"L11631"	
"350.65800"	"0.00018"	"350.658013"	"0.000017"	"650"	""		"23244.838"	"51754.497"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"1"	"3d6.(5D).4s (6D).4d"	"f 5F"	"1"		""	"L11631"	
"350.84743"	"0.00004"	"350.84739"	"0.00003"	"4570"	"6.46e+06"	B+	"24118.819"	"52613.090"	"3d6.4s2"	"b 3G"	"4"	"3d7.(2H).4p"	"w 3H*"	"5"		"T5720"	"L11631"	
"350.85180"	"0.00010"	"350.851796"	"0.000017"	"3310"	"2.07e+06"	B	"20641.110"	"49135.023"	"3d6.4s2"	"b 3F2"	"4"	"3d6.(3F2).4s.4p.(3P*)"	"v 3D*"	"3"		"T5720"	"L11631"	
"350.91186"	"0.00025"	"350.911785"	"0.000017"	"407"	"5.0e+05"	E	"22845.869"	"51334.911"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"5"	"3d6.(5D).4s (6D).4d"	"e 7G"	"4"		"T2578n"	"L11631"	
"350.97256"	"0.00018"	"350.97251"	"0.00003"	"620"	""		"23270.384"	"51754.497"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"0"	"3d6.(5D).4s (6D).4d"	"f 5F"	"1"		""	"L11631"	
"350.98614"	"0.00018"	"350.98624"	"0.00003"	"790"	"1.7e+06"	E	"17927.382"	"46410.381"	"3d7.(4P).4s"	"a 5P"	"1"	"3d7.(4P).4p"	"w 5P*"	"1"		"T2578n"	"L11631"	
"351.04388"	"0.00010"	"351.04388"	"0.00003"	"3020"	"6.24e+06"	B	"20037.816"	"48516.138"	"3d6.4s2"	"a 3P2"	"0"	"3d7.(4P).4p"	"x 3P*"	"1"		"T5720"	"L11631"	
"351.17375"	"0.00019"	"351.173808"	"0.000018"	"660"	"2.5e+05"	E	"20641.110"	"49108.896"	"3d6.4s2"	"b 3F2"	"4"	"3d7.(2G).4p"	"w 3F*"	"4"		"T2578n"	"L11631"	
"351.22253"	"0.00019"	"351.222444"	"0.000018"	"1100"	"2.51e+06"	C+	"22996.674"	"51460.518"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"4"	"3d6.(5D).4s (6D).4d"	"e 7G"	"3"		"T5720"	"L11631"	
"351.29541"	"0.00019"	"351.29552"	"0.00003"	"910"	""		"24772.018"	"53229.941"	"3d7.(2P).4s"	"c 3P"	"1"	"3d7.(2D2).4p"	"v 3P*"	"1"		""	"L11631"	
"351.30529"	"0.00019"	"351.305472"	"0.000018"	"930"	"3.8e+05"	E	"12560.934"	"41018.051"	"3d7.(4F).4s"	"a 3F"	"3"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"2"		"T2578n"	"L11631"	
"351.38177"	"0.00004"	"351.381746"	"0.000018"	"191000"	"3.40e+06"	A	"6928.268"	"35379.208"	"3d7.(4F).4s"	"a 5F"	"5"	"3d7.(4F).4p"	"z 3G*"	"5"		"T3548"	"L11631"	
"351.46270"	"0.00010"	"351.462761"	"0.000018"	"2240"	"4.72e+05"	B	"19390.168"	"47834.550"	"3d6.4s2"	"a 3H"	"6"	"3d6.(3F2).4s.4p.(3P*)"	"x 3G*"	"5"		"T5720"	"L11631"	
"351.64087"	"0.00010"	"351.64086"	"0.00004"	"3090"	"3.6e+06"	E	"24338.767"	"52768.743"	"3d6.4s2"	"b 3G"	"3"	"3d7.(2H).4p"	"w 3H*"	"4"		"T2578n"	"L11631"	
"351.65572"	"0.00010"	"351.655641"	"0.000018"	"1410"	"6.82e+06"	B	"23110.939"	"51539.720"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"3"	"3d6.(5D).4s (6D).4d"	"e 7G"	"2"		"T5720"	"L11631"	
"351.86826"	"0.00019"	"351.868262"	"0.000018"	"1260"	"2.35e+06"	C+	"23192.500"	"51604.103"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"2"	"3d6.(5D).4s (6D).4d"	"f 5F"	"3"		"T5720"	"L11631"	
"351.88694"	"0.00010"	"351.886766"	"0.000018"	"1260"	"8.51e+05"	B	"17726.988"	"46137.097"	"3d7.(4P).4s"	"a 5P"	"2"	"3d7.(4P).4p"	"w 5P*"	"3"		"T5720"	"L11631"	
"352.00228"	"0.00025"	"352.00229"	"0.00003"	"520"	""		"26406.465"	"54807.250"	"3d7.(2D2).4s"	"a 3D"	"1"	"3d7.(4F).5p"	"3D*"	"1"		""	"L11631"	
"352.08463"	"0.00019"	"352.08463"	"0.00003"	"1150"	"1.50e+06"	C+	"21038.987"	"49433.131"	"3d6.4s2"	"b 3F2"	"2"	"3d7.(2G).4p"	"w 3F*"	"2"		"T5720"	"L11631"	
"352.1261"	"0.0003"	"352.126097"	"0.000018"	"204000bl"	"6.14e+06"	B+	"7376.764"	"35767.564"	"3d7.(4F).4s"	"a 5F"	"4"	"3d7.(4F).4p"	"z 3G*"	"4"		"T5720"	"L11631"	
"352.18366"	"0.00010"	"352.183719"	"0.000018"	"2510"	"3.51e+06"	C+	"17927.382"	"46313.537"	"3d7.(4P).4s"	"a 5P"	"1"	"3d7.(4P).4p"	"w 5P*"	"2"		"T5720"	"L11631"	
"352.22678"	"0.00010"	"352.226790"	"0.000018"	"3800"	"5.03e+06"	B	"22845.869"	"51228.553"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"5"	"3d6.(5D).4s (6D).4d"	"e 7G"	"5"		"T5720"	"L11631"	
"352.28973"	"0.00019"	"352.289932"	"0.000018"	"1230"	"3.51e+06"	C+	"23192.500"	"51570.097"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"2"	"3d6.(5D).4s (6D).4d"	"e 7S"	"3"		"T5720"	"L11631"	
"352.31746"	"0.00025"	"352.317445"	"0.000018"	"339"	""		"26224.969"	"54600.350"	"3d7.(2D2).4s"	"a 3D"	"3"	"3d6.(3G).4s.4p.(3P*)"	"t 3G*"	"3"		""	"L11631"	
"352.33084"	"0.00010"	"352.33084"	"0.00003"	"1480"	"1.06e+07"	C+	"23192.500"	"51566.802"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"2"	"3d6.(5D).4s (6D).4d"	"e 7G"	"1"		"T5720"	"L11631"	
"352.40739"	"0.00004"	"352.407390"	"0.000018"	"12600"	"9.9e+06"	D	"20874.482"	"49242.621"	"3d6.4s2"	"b 3F2"	"3"	"3d6.(3F2).4s.4p.(3P*)"	"v 3D*"	"2"		"T2491n"	"L11631"	
"352.42395"	"0.00004"	"352.423938"	"0.000018"	"10000"	"5.04e+06"	B	"18378.186"	"46744.993"	"3d6.4s2"	"a 3P2"	"2"	"3d7.(4P).4p"	"u 5D*"	"3"		"T5720"	"L11631"	
"352.45186"	"0.00019"	"352.45193"	"0.00003"	"790"	""		"22249.429"	"50613.983"	"3d7.(2G).4s"	"a 3G"	"3"	"3d6.(3F2).4s.4p.(3P*)"	"x 1G*"	"4"		""	"L11631"	
"352.58533"	"0.00010"	"352.585389"	"0.000018"	"1660"	""		"22996.674"	"51350.492"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"4"	"3d6.(5D).4s (4D).5s"	"g 5D"	"4"		""	"L11631"	
"352.60406"	"0.00004"	"352.604056"	"0.000018"	"339000"	"1.14e+06"	B	"704.007"	"29056.324"	"3d6.4s2"	"a 5D"	"2"	"3d6.(5D).4s.4p.(3P*)"	"z 5P*"	"3"		"T5720"	"L11631"	
"352.61656"	"0.00004"	"352.616556"	"0.000018"	"100000"	"4.14e+06"	B+	"7728.060"	"36079.372"	"3d7.(4F).4s"	"a 5F"	"3"	"3d7.(4F).4p"	"z 3G*"	"3"		"T5720"	"L11631"	
"352.62377"	"0.00004"	"352.623782"	"0.000018"	"9100"	"1.70e+07"	B+	"23110.939"	"51461.670"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"3"	"3d6.(5D).4s (6D).4d"	"f 5F"	"4"		"T5720"	"L11631"	
"352.63811"	"0.00004"	"352.638112"	"0.000018"	"17000"	"4.13e+07"	B+	"23110.939"	"51460.518"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"3"	"3d6.(5D).4s (6D).4d"	"e 7G"	"3"		"T5720"	"L11631"	
