obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"355.4415"	"0.0010"	"355.4406135"	"0.0000021"	"1*"	"3.6386e+04"	AAA	"[169086.7664725]"	"[197212.82712336]"	"1s.2p"	"3P*"	"2"	"1s.10d"	"3D"	"1"		"T8636c73"	"L551"	
"355.4415"	"0.0010"	"355.4406284"	"0.0000021"	"1*"	"3.2745e+05"	AAA	"[169086.7664725]"	"[197212.82594494]"	"1s.2p"	"3P*"	"2"	"1s.10d"	"3D"	"2"		"T8636c73"	"L551"	
"355.4415"	"0.0010"	"355.4406294"	"0.0000021"	"1*"	"1.3099e+05"	AAA	"[169086.7664725]"	"[197212.82586104]"	"1s.2p"	"3P*"	"2"	"1s.10d"	"3D"	"3"		"T8636c73"	"L551"	
"355.4415"	"0.0010"	"355.4415793"	"0.0000021"	"1*"	"5.4579e+05"	AAA	"[169086.8428979]"	"[197212.82712336]"	"1s.2p"	"3P*"	"1"	"1s.10d"	"3D"	"1"		"T8636c73"	"L551"	
"355.4415"	"0.0010"	"355.4415942"	"0.0000021"	"1*"	"9.8235e+05"	AAA	"[169086.8428979]"	"[197212.82594494]"	"1s.2p"	"3P*"	"1"	"1s.10d"	"3D"	"2"		"T8636c73"	"L551"	
""	""	"355.4540649"	"0.0000021"	""	"7.2772e+05"	AAA	"[169087.8308131]"	"[197212.82712336]"	"1s.2p"	"3P*"	"0"	"1s.10d"	"3D"	"1"		"T8636c73"	""	
"356.2979"	"0.0010"	"356.2969069"	"0.0000021"	"0*"	"2.6868e+05"	AAA	"[169086.7664725]"	"[197145.2332580]"	"1s.2p"	"3P*"	"2"	"1s.10s"	"3S"	"1"		"T8636c73"	"L366"	
"356.2979"	"0.0010"	"356.2978774"	"0.0000021"	"0*"	"1.6121e+05"	AAA	"[169086.8428979]"	"[197145.2332580]"	"1s.2p"	"3P*"	"1"	"1s.10s"	"3S"	"1"		"T8636c73"	"L366"	
""	""	"356.3104232"	"0.0000021"	""	"5.3735e+04"	AAA	"[169087.8308131]"	"[197145.2332580]"	"1s.2p"	"3P*"	"0"	"1s.10s"	"3S"	"1"		"T8636c73"	""	
"358.7270"	"0.0010"	"358.7261792"	"0.0000021"	"1*"	"5.0298e+04"	AAA	"[169086.7664725]"	"[196955.22825838]"	"1s.2p"	"3P*"	"2"	"1s.9d"	"3D"	"1"		"T8636c73"	"L551"	
"358.7270"	"0.0010"	"358.7262000"	"0.0000021"	"1*"	"4.5265e+05"	AAA	"[169086.7664725]"	"[196955.22664143]"	"1s.2p"	"3P*"	"2"	"1s.9d"	"3D"	"2"		"T8636c73"	"L551"	
"358.7270"	"0.0010"	"358.7262015"	"0.0000021"	"1*"	"1.8107e+06"	AAA	"[169086.7664725]"	"[196955.22652671]"	"1s.2p"	"3P*"	"2"	"1s.9d"	"3D"	"3"		"T8636c73"	"L551"	
"358.7270"	"0.0010"	"358.7271630"	"0.0000021"	"1*"	"7.5448e+05"	AAA	"[169086.8428979]"	"[196955.22825838]"	"1s.2p"	"3P*"	"1"	"1s.9d"	"3D"	"1"		"T8636c73"	"L551"	
"358.7270"	"0.0010"	"358.7271838"	"0.0000021"	"1*"	"1.3580e+06"	AAA	"[169086.8428979]"	"[196955.22664143]"	"1s.2p"	"3P*"	"1"	"1s.9d"	"3D"	"2"		"T8636c73"	"L551"	
""	""	"358.7398804"	"0.0000021"	"0"	"1.0060e+06"	AAA	"[169087.8308131]"	"[196955.22825838]"	"1s.2p"	"3P*"	"0"	"1s.9d"	"3D"	"1"		"T8636c73"	"L551"	
""	""	"359.9304497"	"0.0000021"	""	"3.7358e+05"	AAA	"[169086.7664725]"	"[196861.9873396]"	"1s.2p"	"3P*"	"2"	"1s.9s"	"3S"	"1"		"T8636c73"	""	
""	""	"359.9314401"	"0.0000021"	""	"2.2415e+05"	AAA	"[169086.8428979]"	"[196861.9873396]"	"1s.2p"	"3P*"	"1"	"1s.9s"	"3S"	"1"		"T8636c73"	""	
""	""	"359.9442430"	"0.0000021"	""	"7.4716e+04"	AAA	"[169087.8308131]"	"[196861.9873396]"	"1s.2p"	"3P*"	"0"	"1s.9s"	"3S"	"1"		"T8636c73"	""	
"361.3643"	"0.0010"	"361.3642080"	"0.0000021"	"3"	"3.8022e+06"	AAA	"[166277.440141]"	"[193942.462294]"	"1s.2s"	"1S"	"0"	"1s.5p"	"1P*"	"1"		"T8636c73"	"L14925c72"	
""	""	"361.6802357"	"0.0000021"	""	"8.2983e+00"	AAA	"[166277.440141]"	"[193918.28990114]"	"1s.2s"	"1S"	"0"	"1s.5d"	"1D"	"2"	E2	"T7378"	""	
""	""	"363.4230761"	"0.0000021"	"2*"	"7.2396e+04"	AAA	"[169086.7664725]"	"[196595.06466814]"	"1s.2p"	"3P*"	"2"	"1s.8d"	"3D"	"1"		"T8636c73"	"L366"	
""	""	"363.4231065"	"0.0000021"	"2*"	"6.5151e+05"	AAA	"[169086.7664725]"	"[196595.06236505]"	"1s.2p"	"3P*"	"2"	"1s.8d"	"3D"	"2"		"T8636c73"	"L366"	
""	""	"363.4231087"	"0.0000021"	"2*"	"2.6063e+06"	AAA	"[169086.7664725]"	"[196595.06220247]"	"1s.2p"	"3P*"	"2"	"1s.8d"	"3D"	"3"		"T8636c73"	"L366"	
""	""	"363.4240858"	"0.0000021"	"2*"	"1.0859e+06"	AAA	"[169086.8428979]"	"[196595.06466814]"	"1s.2p"	"3P*"	"1"	"1s.8d"	"3D"	"1"		"T8636c73"	"L366"	
""	""	"363.4241162"	"0.0000021"	"2*"	"1.9546e+06"	AAA	"[169086.8428979]"	"[196595.06236505]"	"1s.2p"	"3P*"	"1"	"1s.8d"	"3D"	"2"		"T8636c73"	"L366"	
""	""	"363.4371384"	"0.0000021"	"0"	"1.4479e+06"	AAA	"[169087.8308131]"	"[196595.06466814]"	"1s.2p"	"3P*"	"0"	"1s.8d"	"3D"	"1"		"T8636c73"	"L366"	
"365.1990"	"0.0010"	"365.1981525"	"0.0000021"	"1*"	"5.4136e+05"	AAA	"[169086.7664725]"	"[196461.3618105]"	"1s.2p"	"3P*"	"2"	"1s.8s"	"3S"	"1"		"T8636c73"	"L366"	
"365.1990"	"0.0010"	"365.1991721"	"0.0000021"	"1*"	"3.2481e+05"	AAA	"[169086.8428979]"	"[196461.3618105]"	"1s.2p"	"3P*"	"1"	"1s.8s"	"3S"	"1"		"T8636c73"	"L366"	
