obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"350.9758"	"0.0004"	"350.97560"	"100h"	"4.2e+04"		"97095.774"	"125579.636"	"5d9.6s.6p"	"(2D<3/2>,3P<0>)*"	"3/2"	"5d10.7d"	"2D"	"5/2"		"T7226"	"L11760"	
"351.0625"	"0.0004"	"351.06214"	"800h"	"4.8e+06"		"106086.013"	"134562.854"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"3/2"	"5d10.8d"	"2D"	"3/2"		"T7226"	"L11760"	
"351.5164"	"0.0004"	"351.51596"	"200h"	"5.6e+05"		"110604.447"	"139044.524"	"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"7/2"	"5d10.6g"	"2G"	"9/2"		"T7226"	"L11760"	
"351.5164"	"0.0004"	"351.51600"	"200h"	"2.0e+04"		"110604.447"	"139044.521"	"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"7/2"	"5d10.6g"	"2G"	"7/2"		"T7226"	"L11760"	
"353.2594"	"0.0004"	"353.2599"	"100000"	"3.0e+07"		"104984.138"	"133283.820"	"5d10.6d"	"2D"	"3/2"	"5d10.6f"	"2F*"	"5/2"		"T7226"	"L11760"	
"354.1352"	"0.0004"	"354.13494"	"100h"	"3.0e+04"		"97095.774"	"125325.531"	"5d9.6s.6p"	"(2D<3/2>,3P<0>)*"	"3/2"	"5d10.7d"	"2D"	"3/2"		"T7226"	"L11760"	
"354.9411"	"0.0004"	"354.94074"	"30000"	"1.5e+07"		"111971.464"	"140137.134"	"5d10.7p"	"2P*"	"3/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<2>,1/2]"	"5/2"		"T7226"	"L11760"	
"356.2385"	"0.0004"	""	"100"	""		""	""	""	""	""	""	""	""		""	"L11760"	
"360.2931"	"0.0004"	"360.29286"	"600c"	"9.8e+05"		"111174.092"	"138921.375"	"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"5/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<2>,1/2]"	"3/2"		"T7226"	"L11760"	
"360.3908"	"0.0004"	"360.3903"	"1500"	"2.0e+06"		"105544.042"	"133283.820"	"5d10.6d"	"2D"	"5/2"	"5d10.6f"	"2F*"	"5/2"		"T7226"	"L11760"	
