obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"350.25"	"0.02"	"350.237"	"0.010"	"160"	"8.8e+07"	D	"263745.3"	"292289.2"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4P*"	"3/2"		"T5209"	"L6269"	
"351.10"	"0.02"	"351.093"	"0.010"	"130"	"1.15e+08"	D	"263745.3"	"292219.6"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4P*"	"1/2"		"T5209"	"L6269"	
"383.36"	"0.02"	"383.380"	"0.012"	""	""		"266933.9"	"293010.3"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).3d"	"4D*"	"3/2"		""	"L10065"	
"384.80"	"0.02"	"384.802"	"0.013"	"5"	"2.8e+07"	D	"266933.9"	"292913.9"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).3d"	"4F*"	"5/2"		"T5209"	"L6269"	
"385.23"	"0.05"	"385.22"	"0.05"	""	""		"267576.0"	"293528"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"1/2"	"2p5.3s.(3P*).3d"	"4F*"	"3/2"		""	"L10065"	
"386.55"	"0.02"	"386.543"	"0.013"	"130"	"5.8e+07"	D	"266586.7"	"292449.7"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"7/2"	"2p5.3s.(3P*).3d"	"4F*"	"7/2"		"T5209"	"L6269"	
"387.29"	"0.02"	"387.296"	"0.011"	"19"	"1.2e+07"	D	"266586.7"	"292399.4"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"7/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"		"T5209"	"L6269"	
"388.18"	"0.02"	"388.181"	"0.020"	"420"	"1.63e+08"	D	"266586.7"	"292340.6"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"7/2"	"2p5.3s.(3P*).3d"	"4F*"	"9/2"		"T5209"	"L6269"	
""	""	"388.39033"	"0.00005"	""	"6.95e-04"	C	"0.00000"	"25739.999"	"2p6.3s"	"2S"	"1/2"	"2p6.4s"	"2S"	"1/2"	M1	"c27"	""	
"388.57"	"0.02"	"388.571"	"0.011"	"36"	"6.2e+07"	D	"267282.3"	"293010.3"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	"2p5.3s.(3P*).3d"	"4D*"	"3/2"		"T5209"	"L6269"	
"390.04"	"0.02"	"390.033"	"0.014"	"15"	"7.7e+07"	D	"267282.3"	"292913.9"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	"2p5.3s.(3P*).3d"	"4F*"	"5/2"		"T5209"	"L6269"	
"391.18"	"0.02"	"391.170"	"0.018"	""	""		"267576.0"	"293133.1"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"1/2"	"2p5.3s.(3P*).3d"	"4D*"	"1/2"		""	"L10065"	
"391.79"	"0.02"	"391.803"	"0.012"	"160"	"6.6e+07"	D	"266933.9"	"292449.7"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).3d"	"4F*"	"7/2"		"T5209"	"L6269"	
"392.56"	"0.02"	"392.577"	"0.009"	"85"	"4.5e+07"	D	"266933.9"	"292399.4"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"		"T5209"	"L6269"	
"393.06"	"0.02"	"393.059"	"0.014"	"15"	"2.5e+07"	D	"267576.0"	"293010.3"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"1/2"	"2p5.3s.(3P*).3d"	"4D*"	"3/2"		"T5209"	"L6269"	
"394.26"	"0.02"	"394.283"	"0.009"	"32"	"2.1e+07"	D	"266933.9"	"292289.2"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).3d"	"4P*"	"3/2"		"T5209"	"L6269"	
"398.03"	"0.02"	"398.023"	"0.010"	"14"	"5.e+06"	D	"267282.3"	"292399.4"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"		"T5209"	"L6269"	
"399.77"	"0.02"	"399.777"	"0.011"	"14"	"8.e+06"	D	"267282.3"	"292289.2"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	"2p5.3s.(3P*).3d"	"4P*"	"3/2"		"T5209"	"L6269"	
