obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"350.25537"	"350.255262+"	"20"	"2.30e+05"	D+	"79971.7417"	"108514.1824"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<1/2>).6p"	"2[1/2]"	"1"		"T3952n,T3408,T7199"	"L7350"	
"350.38981"	"350.38962+"	"15"	""		"79971.7417"	"108503.238"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<3/2>).5f"	"2[5/2]"	"3"		""	"L7350"	
"350.666"	"350.66600+"	"3"	""		"79971.7417"	"108480.751"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<3/2>).5f"	"2[3/2]"	"1"		""	"L7408"	
"350.784"	"350.784416+"	"3"	""		"79971.7417"	"108471.1277"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<3/2>).5f"	"2[3/2]"	"2"		""	"L7408"	
"351.18963"	"351.189443+"	"4"	"1.33e+04"	C	"79971.7417"	"108438.2603"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<1/2>).6p"	"2[3/2]"	"1"		"T3952n,T3408,T7199"	"L7350"	
"352.26747"	"352.267256+"	"15"	""		"80916.7680"	"109296.1917"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<3/2>).8p"	"2[1/2]"	"0"		""	"L7350"	
"353.95416"	"353.95398+"	"5"	""		"80916.7680"	"109160.957"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<3/2>).8p"	"2[3/2]"	"2"		""	"L7350"	
"354.09538"	"354.09519+"	"5"	""		"80916.7680"	"109149.694"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<3/2>).8p"	"2[3/2]"	"1"		""	"L7350"	
"354.646"	"354.6467+"	"3"	""		"80916.7680"	"109105.79"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<3/2>).8p"	"2[5/2]"	"2"		""	"L7408"	
"354.944"	"354.93656+"	"1"	""		"80916.7680"	"109082.770"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<3/2>).8p"	"2[1/2]"	"1"		""	"L7408"	
"361.54749"	"361.547453+"	"20"	"1.14e+05"	C	"80916.7680"	"108567.7689"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<1/2>).6p"	"2[3/2]"	"2"		"T3952n,T3408,T7199"	"L4054"	
"362.253"	"362.249497+"	"1"	"4.0e+03"	D	"80916.7680"	"108514.1824"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<1/2>).6p"	"2[1/2]"	"1"		"T3952n,T3408,T7199"	"L7408"	
"362.384"	"362.38490+"	"1"	""		"80916.7680"	"108503.871"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<3/2>).5f"	"2[5/2]"	"2"		""	"L7408"	
"362.691"	"362.68887+"	"2"	""		"80916.7680"	"108480.751"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<3/2>).5f"	"2[3/2]"	"1"		""	"L7408"	
"362.81571"	"362.815540+"	"10"	""		"80916.7680"	"108471.1277"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<3/2>).5f"	"2[3/2]"	"2"		""	"L4054"	
"363.24896"	"363.248842+"	"4"	"9.7e+03"	C	"80916.7680"	"108438.2603"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<1/2>).6p"	"2[3/2]"	"1"		"T3952n,T3408,T7199"	"L7350"	
"366.53254"	"366.53244+"	"80"	"2.33e+06"	C	"79971.7417"	"107246.688"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<3/2>).7p"	"2[3/2]"	"2"		"T4229n,T7199,T3378"	"L4054"	
"366.87365"	"366.87350+"	"10"	""		"79971.7417"	"107221.333"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<3/2>).7p"	"2[3/2]"	"1"		""	"L4054"	
"367.95609"	"367.95597+"	"100*"	""		"79971.7417"	"107141.171"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<3/2>).7p"	"2[5/2]"	"3"		""	"L7350"	
"367.96111"	"367.96099+"	"100*"	""		"79971.7417"	"107140.800"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<3/2>).7p"	"2[5/2]"	"2"		""	"L7350"	
"369.80452"	"369.80439+"	"6"	""		"79971.7417"	"107005.371"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<3/2>).7p"	"2[1/2]"	"1"		""	"L7350"	
"372.728"	"372.728+"	""	""		"85846.7046"	"112668.3"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<1/2>).7p"	"2[1/2]"	"0"		""	"L7266"	
"373.1320"	"373.13215+"	"*"	""		"85846.7046"	"112639.242"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).20f"	"2[3/2]"	"1"		""	"L7266"	
"373.1320"	"373.12603+"	"*"	""		"85846.7046"	"112639.682"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).20f"	"2[5/2]"	"2"		""	"L7266"	
"373.1320"	"373.13142+"	"*"	""		"85846.7046"	"112639.295"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).20f"	"2[3/2]"	"2"		""	"L7266"	
"373.5447"	"373.54602+"	"*"	""		"85846.7046"	"112609.558"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).19f"	"2[3/2]"	"2"		""	"L7266"	
"373.5447"	"373.54715+"	"*"	""		"85846.7046"	"112609.477"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).19f"	"2[3/2]"	"1"		""	"L7266"	
"373.5447"	"373.54022+"	"*"	""		"85846.7046"	"112609.974"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).19f"	"2[5/2]"	"2"		""	"L7266"	
"374.0276"	"374.03423+"	"*"	""		"85846.7046"	"112574.627"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).18f"	"2[3/2]"	"1"		""	"L7266"	
"374.0276"	"374.03148+"	"*"	""		"85846.7046"	"112574.823"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).18f"	"2[3/2]"	"2"		""	"L7266"	
"374.0276"	"374.02646+"	"*"	""		"85846.7046"	"112575.182"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).18f"	"2[5/2]"	"2"		""	"L7266"	
"374.2650"	"374.266+"	""	""		"85846.7046"	"112558.1"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).20p"	"2[1/2]"	"1"		""	"L7266"	
"374.3074"	"374.306+"	"*"	""		"85846.7046"	"112555.2"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).20p"	"2[3/2]"	"2"		""	"L7266"	
"374.3074"	"374.308+"	"*"	""		"85846.7046"	"112555.1"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).20p"	"2[1/2]"	"0"		""	"L7266"	
"374.3522"	"374.362+"	"*"	""		"85846.7046"	"112551.2"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).20p"	"2[5/2]"	"2"		""	"L7266"	
"374.3522"	"374.347+"	"*"	""		"85846.7046"	"112552.3"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).20p"	"2[3/2]"	"1"		""	"L7266"	
"374.467"	"374.466+"	""	""		"85846.7046"	"112543.8"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<1/2>).7p"	"2[3/2]"	"2"		""	"L7266"	
