obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"359.3597"	""	"1.21e+07"	B	"168892.21"	"196711.54"	"2s2.2p.3p"	"3S"	"1"	"2s2.2p.4s"	"3P*"	"2"		"T6385n"	""	
""	"360.9097"	""	"1.41e+07"	B	"168892.21"	"196592.07"	"2s2.2p.3p"	"3S"	"1"	"2s2.2p.4s"	"3P*"	"1"		"T6385n"	""	
""	"361.5864"	""	"1.53e+07"	B	"168892.21"	"196540.23"	"2s2.2p.3p"	"3S"	"1"	"2s2.2p.4s"	"3P*"	"0"		"T6385n"	""	
""	"366.3829"	""	"7.77e+04"	D	"170572.61"	"197858.69"	"2s2.2p.3p"	"3P"	"0"	"2s2.2p.4s"	"1P*"	"1"		"T6385"	""	
""	"366.8572"	""	"1.06e+05"	D	"170607.89"	"197858.69"	"2s2.2p.3p"	"3P"	"1"	"2s2.2p.4s"	"1P*"	"1"		"T6385"	""	
""	"367.6443"	""	"5.15e+04"	D	"170666.23"	"197858.69"	"2s2.2p.3p"	"3P"	"2"	"2s2.2p.4s"	"1P*"	"1"		"T6385"	""	
""	"377.561"	""	"6.61e+02"	D	"144187.94"	"170666.23"	"2s.2p3"	"1D*"	"2"	"2s2.2p.3p"	"3P"	"2"		"T7333"	""	
""	"382.9795"	""	"2.42e+07"	B	"170607.89"	"196711.54"	"2s2.2p.3p"	"3P"	"1"	"2s2.2p.4s"	"3P*"	"2"		"T6385n"	""	
"383.837"	"383.8374"	"285"	"6.98e+07"	B	"170666.23"	"196711.54"	"2s2.2p.3p"	"3P"	"2"	"2s2.2p.4s"	"3P*"	"2"		"T6385n"	"L3513"	
""	"384.1138"	""	"5.99e+04"	C	"202765.26"	"228791.83"	"2s2.2p.4p"	"3D"	"2"	"2s.2p2.(4P).3p"	"3D*"	"3"		"T5520LS"	""	
""	"384.2187"	""	"3.06e+07"	B	"170572.61"	"196592.07"	"2s2.2p.3p"	"3P"	"0"	"2s2.2p.4s"	"3P*"	"1"		"T6385n"	""	
""	"384.2449"	""	"8.05e+04"	C	"202714.12"	"228731.81"	"2s2.2p.4p"	"3D"	"1"	"2s.2p2.(4P).3p"	"3D*"	"2"		"T5520LS"	""	
""	"384.7404"	""	"2.22e+07"	B	"170607.89"	"196592.07"	"2s2.2p.3p"	"3P"	"1"	"2s2.2p.4s"	"3P*"	"1"		"T6385n"	""	
""	"384.7997"	""	"4.01e+05"	C+	"202714.12"	"228694.30"	"2s2.2p.4p"	"3D"	"1"	"2s.2p2.(4P).3p"	"3D*"	"1"		"T5520LS"	""	
""	"385.0017"	""	"3.71e+05"	C+	"202765.26"	"228731.81"	"2s2.2p.4p"	"3D"	"2"	"2s.2p2.(4P).3p"	"3D*"	"2"		"T5520LS"	""	
""	"385.5096"	""	"8.82e+07"	B	"170607.89"	"196540.23"	"2s2.2p.3p"	"3P"	"1"	"2s2.2p.4s"	"3P*"	"0"		"T6385n"	""	
