obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"352.351"	"0.010"	"352.356"	"0.005"	""	""		"55769.7"	"84142.0"	"4p6.6p"	"2P*"	"1/2"	"4p6.11d"	"2D"	"3/2"		""	"L3450"	
"355.644"	"0.010"	"355.641"	"0.005"	""	""		"55769.7"	"83879.9"	"4p6.6p"	"2P*"	"1/2"	"4p6.12s"	"2S"	"1/2"		""	"L3450"	
"355.910"	"0.010"	"355.910"	"0.005"	"*"	""		"56057.9"	"84146.9"	"4p6.6p"	"2P*"	"3/2"	"4p6.11d"	"2D"	"5/2"		""	"L3450"	
"355.910"	"0.010"	"355.972"	"0.005"	"*"	""		"56057.9"	"84142.0"	"4p6.6p"	"2P*"	"3/2"	"4p6.11d"	"2D"	"3/2"		""	"L3450"	
"359.323"	"0.010"	"359.325"	"0.005"	""	""		"56057.9"	"83879.9"	"4p6.6p"	"2P*"	"3/2"	"4p6.12s"	"2S"	"1/2"		""	"L3450"	
"367.756"	"0.010"	"367.756"	"0.006"	""	""		"55769.7"	"82953.9"	"4p6.6p"	"2P*"	"1/2"	"4p6.10d"	"2D"	"3/2"		""	"L3450"	
"371.730"	"0.010"	"371.730"	"0.006"	""	""		"56057.9"	"82951.5"	"4p6.6p"	"2P*"	"3/2"	"4p6.10d"	"2D"	"5/2"		""	"L3450"	
"372.934"	"0.010"	"372.939"	"0.005"	""	""		"55769.7"	"82576.1"	"4p6.6p"	"2P*"	"1/2"	"4p6.11s"	"2S"	"1/2"		""	"L3450"	
"376.200"	"0.010"	"376.187"	"0.003"	""	""		"53286.31"	"79861.3"	"4p6.5d"	"2D"	"3/2"	"4p6.7f"	"2F*"	"5/2"		""	"L3450"	
"376.999"	"0.010"	"376.992"	"0.005"	""	""		"56057.9"	"82576.1"	"4p6.6p"	"2P*"	"3/2"	"4p6.11s"	"2S"	"1/2"		""	"L3450"	
"377.422"	"0.010"	"377.418"	"0.003"	"*"	""		"53372.97"	"79861.3"	"4p6.5d"	"2D"	"5/2"	"4p6.7f"	"2F*"	"7/2"		""	"L3450"	
"377.422"	"0.010"	"377.418"	"0.003"	"*"	""		"53372.97"	"79861.3"	"4p6.5d"	"2D"	"5/2"	"4p6.7f"	"2F*"	"5/2"		""	"L3450"	
"392.500"	"0.010"	"392.500"	"0.005"	""	""		"55769.7"	"81240.2"	"4p6.6p"	"2P*"	"1/2"	"4p6.9d"	"2D"	"3/2"		""	"L3450"	
"400.975"	"0.010"	"400.976"	"0.005"	""	""		"55769.7"	"80701.8"	"4p6.6p"	"2P*"	"1/2"	"4p6.10s"	"2S"	"1/2"		""	"L3450"	
"405.667"	"0.010"	"405.665"	"0.005"	""	""		"56057.9"	"80701.8"	"4p6.6p"	"2P*"	"3/2"	"4p6.10s"	"2S"	"1/2"		""	"L3450"	
"407.77140"	"0.00010"	"407.77094"	"0.00017"	"400r"	"1.41e+08"	AA	"0.00"	"24516.65"	"4p6.5s"	"2S"	"1/2"	"4p6.5p"	"2P*"	"3/2"		"T6398,T1181"	"L7362"	
"410.755"	"0.010"	"410.726"	"0.004"	"*"	""		"60990.04"	"85330.3"	"4p6.4f"	"2F*"	"7/2"	"4p6.11g"	"2G"	"9/2"		""	"L3450"	
"410.755"	"0.010"	"410.726"	"0.004"	"*"	""		"60990.04"	"85330.3"	"4p6.4f"	"2F*"	"7/2"	"4p6.11g"	"2G"	"7/2"		""	"L3450"	
"410.755"	"0.010"	"410.748"	"0.004"	"*"	""		"60991.34"	"85330.3"	"4p6.4f"	"2F*"	"5/2"	"4p6.11g"	"2G"	"7/2"		""	"L3450"	
"416.17960"	"0.00010"	"416.17918"	"0.00024"	"30"	"6.5e+07"	D	"23715.19"	"47736.53"	"4p6.5p"	"2P*"	"1/2"	"4p6.6s"	"2S"	"1/2"		"T4515"	"L7362"	
"421.55240"	"0.00010"	"421.55193"	"0.00018"	"300r"	"1.279e+08"	AA	"0.00"	"23715.19"	"4p6.5s"	"2S"	"1/2"	"4p6.5p"	"2P*"	"1/2"		"T9615"	"L7362"	
"424.054"	"0.010"	"424.024"	"0.004"	"*"	""		"60990.04"	"84567.0"	"4p6.4f"	"2F*"	"7/2"	"4p6.10g"	"2G"	"9/2"		""	"L3450"	
"424.054"	"0.010"	"424.024"	"0.004"	"*"	""		"60990.04"	"84567.0"	"4p6.4f"	"2F*"	"7/2"	"4p6.10g"	"2G"	"7/2"		""	"L3450"	
"424.054"	"0.010"	"424.047"	"0.004"	"*"	""		"60991.34"	"84567.0"	"4p6.4f"	"2F*"	"5/2"	"4p6.10g"	"2G"	"7/2"		""	"L3450"	
"429.682"	"0.010"	"429.6707"	"0.0018"	""	""		"53286.31"	"76553.4"	"4p6.5d"	"2D"	"3/2"	"4p6.6f"	"2F*"	"5/2"		""	"L3450"	
"430.54470"	"0.00010"	"430.5443"	"0.0003"	"40"	"1.4e+08"	D	"24516.65"	"47736.53"	"4p6.5p"	"2P*"	"3/2"	"4p6.6s"	"2S"	"1/2"		"T4515"	"L7362"	
"431.274"	"0.010"	"431.2771"	"0.0019"	"*"	""		"53372.97"	"76553.4"	"4p6.5d"	"2D"	"5/2"	"4p6.6f"	"2F*"	"5/2"		""	"L3450"	
"431.274"	"0.010"	"431.2771"	"0.0019"	"*"	""		"53372.97"	"76553.4"	"4p6.5d"	"2D"	"5/2"	"4p6.6f"	"2F*"	"7/2"		""	"L3450"	
