obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"350.6740"	"0.0010"	"350.67334+"	"5"	""		"67067.547"	"95575.960"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).7f"	"2[5/2]"	"3"		""	"L4739"	
"350.8420"	"0.0010"	"350.83842+"	"2"	""		"67067.547"	"95562.546"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).7f"	"2[3/2]"	"2"		""	"L4739"	
"351.7900"	"0.0010"	"351.7876+"	"2*"	""		"68045.156"	"96463.27"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	"5p5.(2P*<3/2>).9f"	"2[3/2]"	"2"		""	"L4739"	
"351.7900"	"0.0010"	"351.7956+"	"2*"	""		"68045.156"	"96462.63"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	"5p5.(2P*<3/2>).9f"	"2[3/2]"	"1"		""	"L4739"	
"353.3480"	"0.0010"	"353.3475+"	"2"	""		"68045.156"	"96337.82"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	"5p5.(2P*<3/2>).12p"	"2[1/2]"	"0"		""	"L4739"	
"353.6610"	"0.0010"	"353.6592+"	"1-"	""		"68045.156"	"96312.89"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	"5p5.(2P*<3/2>).12p"	"2[3/2]"	"2"		""	"L4739"	
"353.7350"	"0.0010"	"353.7346+"	"1"	""		"68045.156"	"96306.86"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	"5p5.(2P*<3/2>).12p"	"2[3/2]"	"1"		""	"L4739"	
"354.9860"	"0.0010"	"354.9865+"	"10"	""		"67067.547"	"95229.59"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).10p"	"2[3/2]"	"2"		""	"L4739"	
"355.4040"	"0.0010"	"355.4037+"	"10"	""		"67067.547"	"95196.53"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).10p"	"2[5/2]"	"3"		""	"L4739"	
"355.5920"	"0.0010"	"355.5917+"	"1"	""		"67067.547"	"95181.66"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).10p"	"2[5/2]"	"2"		""	"L4739"	
"356.3800"	"0.0010"	"356.3771+"	"3"	""		"68045.156"	"96097.31"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	"5p5.(2P*<3/2>).8f"	"2[3/2]"	"2"		""	"L4739"	
"358.7020"	"0.0010"	"358.7016+"	"4"	""		"68045.156"	"95915.53"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	"5p5.(2P*<3/2>).11p"	"2[1/2]"	"0"		""	"L4739"	
"359.1670"	"0.0010"	"359.1672+"	"1"	""		"68045.156"	"95879.40"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	"5p5.(2P*<3/2>).11p"	"2[3/2]"	"2"		""	"L4739"	
